公司名稱,公司簡稱,公司代號
創威光電股份有限公司,創威,6530
瑞耘科技股份有限公司,瑞耘,6532
順天醫藥生技股份有限公司,順藥,6535
倉和股份有限公司,倉和,6538
隆中網絡股份有限公司,隆中,6542
正基科技股份有限公司,正基,6546
高端疫苗生物製劑股份有限公司,高端疫苗,6547
長華科技股份有限公司,長科*,6548
勝品電通股份有限公司,勝品,6556
欣普羅光電股份有限公司,欣普羅,6560
是方電訊股份有限公司,是方,6561
宏觀微電子股份有限公司,宏觀,6568
醫揚科技股份有限公司,醫揚,6569
維田科技股份有限公司,維田,6570
霈方國際股份有限公司,霈方,6574
逸達生物科技股份有限公司,逸達,6576
勁豐電子股份有限公司,勁豐,6577
達邦蛋白生技股份有限公司,達邦蛋白,6578
南俊國際股份有限公司,南俊國際,6584
東典光電科技股份有限公司,東典光電,6588
普鴻資訊股份有限公司,普鴻,6590
台灣銘板股份有限公司,台灣銘板,6593
寬宏藝術經紀股份有限公司,寬宏藝術,6596
立誠光電股份有限公司,立誠,6597
富強鑫精密工業股份有限公司,富強鑫,6603
台灣瀧澤科技股份有限公司,瀧澤科,6609
應用奈米醫材科技股份有限公司,奈米醫材,6612
朋億股份有限公司,朋億*,6613
慧智基因股份有限公司,慧智,6615
特昇國際股份有限公司,特昇-KY,6616
共信醫藥科技控股股份有限公司,共信-KY,6617
漢達生技醫藥股份有限公司,漢達,6620
萬年清環境工程股份有限公司,萬年清,6624
泰金投資控股股份有限公司,泰金-KY,6629
醫影股份有限公司,醫影,6637
均華精密工業股份有限公司,均華,6640
富致科技股份有限公司,富致,6642
&#20870;星科技股份有限公司,M31,6643
台灣生醫材料股份有限公司,台生材,6649
全宇昕科技股份有限公司,全宇昕,6651
天正國際精密機械股份有限公司,天正國際,6654
威健股份有限公司,威健生技,6661
樂斯科生物科技股份有限公司,樂斯科,6662
群翊工業股份有限公司,群翊,6664
信紘科技股份有限公司,信紘科,6667
鈺太科技股份有限公司,鈺太,6679
鑫創電子股份有限公司,鑫創電子,6680
雍智科技股份有限公司,雍智科技,6683
安格科技股份有限公司,安格,6684
安碁資訊股份有限公司,安碁資訊,6690
進金生能源服務股份有限公司,進能服,6692
廣閎科技股份有限公司,廣閎科,6693
東捷資訊服務股份有限公司,東捷資訊,6697
軒郁國際股份有限公司,軒郁,6703
天擎積體電路股份有限公司,天擎,6708
長聖國際生技股份有限公司,長聖,6712
應廣科技股份有限公司,應廣,6716
久昌科技股份有限公司,久昌,6720
